metric,strategy_gross,strategy_net,buy_and_hold,gross_vs_bh
Total return (%),27.7436,16.2648,614.2157,-586.4721
Annualised return (%),2.4853,1.5224,21.7883,-19.303
Sharpe ratio,1.3809,0.8529,0.8363,0.5446
Sortino ratio,2.3676,1.4738,0.9619,1.4057
Max drawdown (%),-1.9084,-3.7166,-38.924,37.0156
Number of trades,798.0,798.0,—,—
Win rate (%),54.26,49.62,—,—
Avg profit / trade ($),0.127607,0.097607,—,—
Avg holding time (min),249.1,249.1,—,—
Avg position size (%),22.24,22.24,—,—
Exposure (%),17.84,17.84,—,—
