signal,enter_date,year,month,enter_time,enter_price,exit_date,exit_time,exit_price,profit,profit_pct,capital_return,holding_bars,holding_minutes,percent
SHORT_EMA_CROSS,2015-06-19,2015,6,12:30:00,28.41,2015-06-19,15:30:00,28.31,0.1,0.00352,0.000753,6,180.0,21.4
LONG_EMA_CROSS,2015-06-22,2015,6,11:30:00,28.66,2015-06-22,15:30:00,28.58,-0.08,-0.002791,-0.00069,8,240.0,24.71
SHORT_EMA_CROSS,2015-06-23,2015,6,12:00:00,28.47,2015-06-23,15:30:00,28.45,0.02,0.000702,0.000147,7,210.0,20.98
LONG_EMA_CROSS,2015-06-24,2015,6,10:00:00,28.85,2015-06-24,15:30:00,28.7,-0.15,-0.005199,-0.002,11,330.0,38.46
SHORT_EMA_CROSS,2015-06-26,2015,6,09:30:00,28.65,2015-06-26,15:30:00,28.39,0.26,0.009075,0.002253,12,360.0,24.83
LONG_EMA_CROSS,2015-07-02,2015,7,09:30:00,28.27,2015-07-02,10:00:00,28.28,0.01,0.000354,7.6e-05,1,30.0,21.43
SHORT_EMA_CROSS,2015-07-02,2015,7,10:00:00,28.28,2015-07-02,15:30:00,28.31,-0.03,-0.001061,-0.000232,11,330.0,21.89
LONG_EMA_CROSS,2015-07-13,2015,7,10:30:00,27.9,2015-07-13,15:30:00,28.14,0.24,0.008602,0.003208,10,300.0,37.29
SHORT_EMA_CROSS,2015-07-22,2015,7,10:30:00,27.95,2015-07-22,15:30:00,28.05,-0.1,-0.003578,-0.001665,10,300.0,46.53
LONG_EMA_CROSS,2015-08-10,2015,8,10:30:00,26.64,2015-08-10,15:30:00,26.93,0.29,0.010886,0.002221,10,300.0,20.4
SHORT_EMA_CROSS,2015-08-11,2015,8,12:30:00,25.84,2015-08-11,15:30:00,25.53,0.31,0.011997,0.002447,6,180.0,20.4
LONG_EMA_CROSS,2015-08-13,2015,8,13:00:00,26.1,2015-08-13,15:30:00,25.91,-0.19,-0.00728,-0.001456,5,150.0,20.0
SHORT_EMA_CROSS,2015-08-14,2015,8,11:00:00,25.89,2015-08-14,15:30:00,26.09,-0.2,-0.007725,-0.001638,9,270.0,21.21
SHORT_EMA_CROSS,2015-08-19,2015,8,11:00:00,25.83,2015-08-19,15:30:00,25.88,-0.05,-0.001936,-0.000488,9,270.0,25.23
LONG_EMA_CROSS,2015-08-27,2015,8,10:00:00,25.01,2015-08-27,15:30:00,25.41,0.4,0.015994,0.004099,11,330.0,25.63
SHORT_EMA_CROSS,2015-09-01,2015,9,12:30:00,24.76,2015-09-01,15:30:00,24.24,0.52,0.021002,0.004877,6,180.0,23.22
LONG_EMA_CROSS,2015-09-03,2015,9,09:30:00,25.1,2015-09-03,15:30:00,24.82,-0.28,-0.011155,-0.00259,12,360.0,23.22
LONG_EMA_CROSS,2015-09-08,2015,9,11:00:00,25.16,2015-09-08,15:30:00,25.27,0.11,0.004372,0.000892,9,270.0,20.4
SHORT_EMA_CROSS,2015-09-18,2015,9,09:30:00,25.49,2015-09-18,15:30:00,25.53,-0.04,-0.001569,-0.000314,12,360.0,20.0
LONG_EMA_CROSS,2015-09-21,2015,9,15:30:00,25.92,2015-09-22,10:00:00,25.58,-0.34,-0.013117,-0.002782,2,1110.0,21.21
SHORT_EMA_CROSS,2015-09-22,2015,9,10:00:00,25.58,2015-09-22,15:30:00,25.51,0.07,0.002737,0.00058,11,330.0,21.21
LONG_EMA_CROSS,2015-09-23,2015,9,15:30:00,25.72,2015-09-24,10:00:00,25.39,-0.33,-0.01283,-0.002669,2,1110.0,20.8
SHORT_EMA_CROSS,2015-09-24,2015,9,10:00:00,25.39,2015-09-24,15:00:00,25.88,-0.49,-0.019299,-0.004869,10,300.0,25.23
LONG_EMA_CROSS,2015-09-24,2015,9,15:00:00,25.88,2015-09-24,15:30:00,25.87,-0.01,-0.000386,-8.8e-05,1,30.0,22.81
SHORT_EMA_CROSS,2015-09-28,2015,9,10:30:00,25.57,2015-09-28,15:30:00,25.3,0.27,0.010559,0.002282,10,300.0,21.61
LONG_EMA_CROSS,2015-10-05,2015,10,14:00:00,24.95,2015-10-05,15:30:00,24.92,-0.03,-0.001202,-0.000284,3,90.0,23.62
SHORT_EMA_CROSS,2015-10-07,2015,10,13:00:00,24.75,2015-10-07,15:30:00,24.92,-0.17,-0.006869,-0.00176,5,150.0,25.63
LONG_EMA_CROSS,2015-10-08,2015,10,09:30:00,24.53,2015-10-08,10:00:00,24.49,-0.04,-0.001631,-0.000326,1,30.0,20.0
SHORT_EMA_CROSS,2015-10-08,2015,10,10:00:00,24.49,2015-10-08,15:30:00,24.64,-0.15,-0.006125,-0.002111,11,330.0,34.47
LONG_EMA_CROSS,2015-10-09,2015,10,11:00:00,25.14,2015-10-09,15:30:00,25.22,0.08,0.003182,0.000944,9,270.0,29.65
SHORT_EMA_CROSS,2015-10-14,2015,10,11:00:00,24.75,2015-10-14,15:30:00,24.8,-0.05,-0.00202,-0.000518,9,270.0,25.63
LONG_EMA_CROSS,2015-10-15,2015,10,13:30:00,25.1,2015-10-15,15:30:00,25.16,0.06,0.00239,0.000545,4,120.0,22.81
SHORT_EMA_CROSS,2015-10-16,2015,10,14:30:00,24.92,2015-10-16,15:30:00,24.98,-0.06,-0.002408,-0.000559,2,60.0,23.22
LONG_EMA_CROSS,2015-10-19,2015,10,15:00:00,25.07,2015-10-19,15:30:00,25.14,0.07,0.002792,0.000682,1,30.0,24.42
SHORT_EMA_CROSS,2015-10-27,2015,10,09:30:00,26.13,2015-10-27,10:00:00,26.1,0.03,0.001148,0.000308,1,30.0,26.83
LONG_EMA_CROSS,2015-10-27,2015,10,10:00:00,26.1,2015-10-27,12:30:00,25.93,-0.17,-0.006513,-0.001512,5,150.0,23.22
SHORT_EMA_CROSS,2015-10-27,2015,10,12:30:00,25.93,2015-10-27,15:30:00,25.78,0.15,0.005785,0.001529,6,180.0,26.43
LONG_EMA_CROSS,2015-10-28,2015,10,10:30:00,26.29,2015-10-28,15:30:00,26.84,0.55,0.020921,0.005109,10,300.0,24.42
SHORT_EMA_CROSS,2015-11-05,2015,11,14:30:00,27.21,2015-11-05,15:30:00,27.32,-0.11,-0.004043,-0.000955,2,60.0,23.62
LONG_EMA_CROSS,2015-11-06,2015,11,10:30:00,27.45,2015-11-06,15:30:00,27.35,-0.1,-0.003643,-0.000729,10,300.0,20.0
SHORT_EMA_CROSS,2015-11-09,2015,11,11:30:00,27.2,2015-11-09,15:30:00,27.24,-0.04,-0.001471,-0.000395,8,240.0,26.83
LONG_EMA_CROSS,2015-11-18,2015,11,10:30:00,26.44,2015-11-18,15:30:00,26.5,0.06,0.002269,0.000773,10,300.0,34.07
SHORT_EMA_CROSS,2015-11-27,2015,11,09:30:00,26.63,2015-11-27,12:30:00,26.62,0.01,0.000376,7.5e-05,6,180.0,20.0
LONG_EMA_CROSS,2015-11-30,2015,11,10:30:00,26.88,2015-11-30,15:30:00,26.73,-0.15,-0.00558,-0.001699,10,300.0,30.45
SHORT_EMA_CROSS,2015-12-01,2015,12,12:00:00,26.7,2015-12-01,15:30:00,26.51,0.19,0.007116,0.001452,7,210.0,20.4
LONG_EMA_CROSS,2015-12-04,2015,12,12:00:00,26.74,2015-12-04,15:30:00,26.89,0.15,0.00561,0.00119,7,210.0,21.21
SHORT_EMA_CROSS,2015-12-09,2015,12,10:00:00,26.46,2015-12-09,15:30:00,26.13,0.33,0.012472,0.002795,11,330.0,22.41
LONG_EMA_CROSS,2015-12-23,2015,12,12:30:00,24.49,2015-12-23,15:30:00,24.54,0.05,0.002042,0.000515,6,180.0,25.23
SHORT_EMA_CROSS,2015-12-28,2015,12,10:00:00,24.05,2015-12-28,15:30:00,24.14,-0.09,-0.003742,-0.000839,11,330.0,22.41
LONG_EMA_CROSS,2015-12-29,2015,12,13:00:00,24.58,2015-12-29,15:30:00,24.57,-0.01,-0.000407,-0.000103,5,150.0,25.23
SHORT_EMA_CROSS,2015-12-30,2015,12,13:00:00,24.31,2015-12-30,15:30:00,24.25,0.06,0.002468,0.000494,5,150.0,20.0
LONG_EMA_CROSS,2016-01-12,2016,1,15:00:00,22.52,2016-01-12,15:30:00,22.59,0.07,0.003108,0.000759,1,30.0,24.42
SHORT_EMA_CROSS,2016-01-13,2016,1,15:00:00,22.2,2016-01-13,15:30:00,22.01,0.19,0.008559,0.002503,1,30.0,29.25
