signal,enter_date,year,month,enter_time,exit_date,exit_time,holding_bars,holding_minutes,percent,enter_price_gross,exit_price_gross,enter_price_net,exit_price_net,slippage_cost,commission_cost,total_cost,profit_gross,profit_pct_gross,capital_return_gross,profit_net,profit_pct_net,capital_return_net
SHORT_EMA_CROSS,2015-06-19,2015,6,12:30:00,2015-06-19,15:45:00,13,195.0,24.17,28.39,28.31,28.38,28.32,0.02,0.01,0.03,0.08,0.002818,0.000681,0.05,0.001761,0.000426
LONG_EMA_CROSS,2015-06-22,2015,6,12:00:00,2015-06-22,15:45:00,15,225.0,21.73,28.62,28.58,28.63,28.57,0.02,0.01,0.03,-0.04,-0.001398,-0.000304,-0.07,-0.002446,-0.000531
SHORT_EMA_CROSS,2015-06-23,2015,6,11:30:00,2015-06-23,15:45:00,17,255.0,22.45,28.48,28.45,28.47,28.46,0.02,0.01,0.03,0.03,0.001053,0.000236,0.0,0.0,0.0
LONG_EMA_CROSS,2015-06-24,2015,6,10:00:00,2015-06-24,15:45:00,23,345.0,29.62,28.82,28.7,28.83,28.69,0.02,0.01,0.03,-0.12,-0.004164,-0.001233,-0.15,-0.005205,-0.001542
SHORT_EMA_CROSS,2015-06-25,2015,6,15:45:00,2015-06-26,15:45:00,26,1440.0,21.61,28.56,28.39,28.55,28.4,0.02,0.01,0.03,0.17,0.005952,0.001286,0.14,0.004902,0.001059
LONG_EMA_CROSS,2015-07-01,2015,7,12:15:00,2015-07-01,15:45:00,14,210.0,20.0,28.28,28.35,28.29,28.34,0.02,0.01,0.03,0.07,0.002475,0.000495,0.04,0.001414,0.000283
SHORT_EMA_CROSS,2015-07-02,2015,7,13:15:00,2015-07-02,15:15:00,8,120.0,21.21,28.22,28.31,28.21,28.32,0.02,0.01,0.03,-0.09,-0.003189,-0.000676,-0.12,-0.004252,-0.000902
LONG_EMA_CROSS,2015-07-02,2015,7,15:15:00,2015-07-02,15:45:00,2,30.0,20.4,28.31,28.31,28.32,28.3,0.02,0.01,0.03,0.0,0.0,0.0,-0.03,-0.00106,-0.000216
SHORT_EMA_CROSS,2015-07-06,2015,7,10:00:00,2015-07-06,15:45:00,23,345.0,22.01,28.18,28.22,28.17,28.23,0.02,0.01,0.03,-0.04,-0.001419,-0.000312,-0.07,-0.002484,-0.000547
LONG_EMA_CROSS,2015-07-13,2015,7,09:45:00,2015-07-13,15:45:00,24,360.0,32.06,27.89,28.14,27.9,28.13,0.02,0.01,0.03,0.25,0.008964,0.002874,0.22,0.007888,0.002529
SHORT_EMA_CROSS,2015-07-22,2015,7,10:00:00,2015-07-22,15:45:00,23,345.0,23.62,27.83,28.05,27.82,28.06,0.02,0.01,0.03,-0.22,-0.007905,-0.001867,-0.25,-0.008983,-0.002122
